Time, Tie_Power, L1, L2, L3, L4, Pess, P1, P2, P3, P4
0.25, -10043.4111328125, 970.0052490234375, 969.6478881835938, 970.9196166992188, 971.4490966796875, -1263.46484375, -1080.128662109375, -995.4545288085938, -972.0952758789062, -1079.31396484375
0.5, -2468.980712890625, 1077.5428466796875, 1076.6676025390625, 1077.1517333984375, 1074.82568359375, 393.6689453125, 378.9950866699219, 371.4259948730469, 366.3578186035156, 377.440673828125
0.75, -4802.43359375, 1103.2706298828125, 1102.3096923828125, 1102.7880859375, 1100.166259765625, -55.93656539916992, -61.572731018066406, -62.16602325439453, -62.77476501464844, -64.44865417480469
1.0, -5064.29833984375, 1108.180908203125, 1107.493408203125, 1107.8951416015625, 1105.173583984375, -96.74219512939453, -113.43038940429688, -113.08602905273438, -112.8402328491211, -114.78113555908203
1.25, -5072.42529296875, 1108.9373779296875, 1108.1871337890625, 1108.4378662109375, 1106.338134765625, -100.35968780517578, -116.39690399169922, -115.15586853027344, -116.80137634277344, -120.35873413085938
1.5, -5007.85986328125, 1108.679931640625, 1107.8363037109375, 1108.3092041015625, 1107.0174560546875, -93.17117309570312, -100.67170715332031, -101.01129150390625, -101.76436614990234, -101.1323013305664
1.75, -4894.83447265625, 1108.5125732421875, 1107.783935546875, 1108.1474609375, 1107.0145263671875, -80.06436157226562, -77.23054504394531, -78.42832946777344, -78.20668029785156, -73.19837188720703
2.0, -4600.54443359375, 1108.4588623046875, 1107.6834716796875, 1108.1322021484375, 1106.5159912109375, -56.338043212890625, -12.76395320892334, -12.723040580749512, -12.015240669250488, -10.794471740722656
2.25, -4499.18017578125, 1108.333740234375, 1107.5028076171875, 1107.9857177734375, 1106.442626953125, -4.066596984863281, 0.11990346759557724, 0.37883347272872925, -0.9481080174446106, -1.5873157978057861
2.5, -4494.74267578125, 1108.309814453125, 1107.46142578125, 1107.937255859375, 1106.4342041015625, -1.2824006080627441, 0.6112762093544006, 0.3081982135772705, 0.30042794346809387, 0.47329211235046387
2.75, -4498.0087890625, 1108.248779296875, 1107.3843994140625, 1107.9112548828125, 1106.43310546875, -0.9681058526039124, -0.13541841506958008, -0.4030308425426483, -0.31879866123199463, 0.18537278473377228
3.0, -4498.474609375, 1108.285400390625, 1107.4228515625, 1107.9345703125, 1106.4632568359375, -0.22717271745204926, -0.054018519818782806, -0.21731796860694885, 0.39429089426994324, -0.2759166657924652
3.25, -4496.81298828125, 1108.24072265625, 1107.4346923828125, 1107.9013671875, 1106.4310302734375, 0.14289040863513947, 0.32095396518707275, 0.31000009179115295, -0.02492912858724594, -0.5491922497749329
3.5, -4497.46533203125, 1108.25048828125, 1107.3929443359375, 1107.796875, 1106.4200439453125, 0.0547490268945694, -0.08700470626354218, -0.030790189281105995, -0.25976645946502686, -0.0416073352098465
3.75, -4495.03271484375, 1108.3074951171875, 1107.4521484375, 1107.89990234375, 1106.4278564453125, 0.3143306374549866, -0.0392732098698616, 0.10182850062847137, 0.40071016550064087, 0.13809816539287567
4.0, -4495.1826171875, 1108.255859375, 1107.4498291015625, 1107.9205322265625, 1106.4404296875, 0.05476784333586693, 0.20509931445121765, 0.09960412234067917, 0.2274334579706192, -0.46053239703178406
4.25, -4500.2392578125, 1108.2513427734375, 1107.396240234375, 1107.8359375, 1106.4581298828125, -0.13491502404212952, -0.41091763973236084, -0.6916427612304688, -1.9650057554244995, -1.8327621221542358
4.5, -4496.0986328125, 1108.270263671875, 1107.4200439453125, 1107.9722900390625, 1106.4283447265625, -0.20658886432647705, -0.04053223878145218, -0.3495491147041321, -0.6090026497840881, -0.5719165802001953
4.75, -4495.82080078125, 1108.217529296875, 1107.4093017578125, 1107.9241943359375, 1106.424560546875, -0.14787836372852325, 0.17754897475242615, 0.648491382598877, 0.5048815608024597, -0.4898338317871094
5.0, -4499.029296875, 1108.2420654296875, 1107.40771484375, 1107.901123046875, 1106.435791015625, -0.34008294343948364, 0.06543232500553131, 0.09730280935764313, -0.3346335291862488, -1.262166976928711
